PDB1,PDB2,DTW_Distance_Normalized
1a14,3ehb,37.610828194207016
1a14,3umt,72.07383279862746
1a14,3h3b,92.38505837615106
1a14,3u6r,51.682209754786165
1a14,3lhp,88.66258955345869
1a14,3hb3,36.984556400745575
1a14,3uyp,65.45104033027599
1a14,3uzq,69.83590904248307
1a14,3uzv,115.83391053692188
1a14,3ux9,39.89881237607506
1a14,3juy,83.1699664090898
1a14,3wbd,143.08619858236875
1a14,3lh2,70.5460850439781
1a14,3uze,85.27813174521751
1a14,4gqp,83.93344592424779
1a14,4ffy,118.14547036364188
1a14,4buh,77.33941291983611
1a14,4h0g,42.36045970141403
1a14,4h0h,98.82759525573331
1a14,4h0i,98.74809095594618
1a14,4laq,90.93990294761907
1a14,4lar,84.04559725717782
1a14,4las,84.07674709020877
1a14,43c9,47.51356466856354
1a14,4lci,73.88877772038279
1a14,4lrn,94.65479153901144
1a14,43ca,48.42511021605532
1a14,4ob5,80.92043795616799
1a14,4ouo,55.25139097450605
1a14,4p48,73.65393276463926
1a14,4p49,69.19939364638984
1a14,4nik,52.664121411063455
1a14,4qxt,103.84801250033908
1a14,4qy8,50.53779858857199
1a14,4qyo,50.09967528760823
1a14,4r3s,86.81116475622639
1a14,4ut7,91.31185524136413
1a14,4m62,100.6123828283583
1a14,4m8q,113.55296784046433
1a14,4llv,160.4481362028495
1a14,4xvj,73.1228592130873
1a14,4rav,65.62220499562282
1a14,4z0x,77.75841433705847
1a14,5a2i,74.61003524805206
1a14,4yjz,216.40576947280783
1a14,4uu9,103.0590462030149
1a14,4rzc,100.85932128052963
1a14,5a2j,79.47687585369434
1a14,5a2l,81.21542012457753
1a14,5a2k,74.44782289492538
1a14,4yqx,58.7031582737736
1a14,5ayu,76.33645938424503
1a14,4y5y,124.85265992349122
1a14,5b3n,92.96429505067714
1a14,5c2b,53.640582771862256
1a14,3cx5,58.983860226966236
1a14,5aam,102.36061307594134
1a14,3cxh,60.50405996569802
1a14,5c6w,128.1519158805897
1a14,5dfw,47.957498574833714
1a14,4y5v,164.89593987098107
1a14,5fxc,74.08040868223102
1a14,5grv,125.75218779121349
1a14,5cba,127.43563557294459
1a14,5cbe,109.73454097673005
1a14,5dhv,73.88278460658454
1a14,5dhx,107.40066907296773
1a14,5fcs,112.8752481298509
1a14,5i4f,106.12106156193353
1a14,5grw,86.71620131473915
1a14,5grx,70.53571015401603
1a14,5gry,82.96351432800293
1a14,5gs3,66.83731698989868
1a14,5grz,116.02047808030072
1a14,5gru,110.94407388438349
1a14,5f72,144.1627906241068
1a14,5j74,128.4995953927632
1a14,5j75,105.65192633984135
1a14,5kve,116.5622374840032
1a14,5jyl,119.7282574084378
1a14,5n7b,101.04069956611184
1a14,5lwy,118.92568633135627
1a14,5lx9,119.55120732425864
1a14,5lxa,120.1132428038354
1a14,5lxg,80.9934683968039
1a14,5owp,74.60407488953834
1a14,5jym,102.21820823442472
1a14,5npi,70.57627655789743
1a14,5vf2,67.53647961336024
1a14,5npj,137.59211374419968
1a14,5vf6,44.14436952896367
1a14,5wn9,86.35702916064294
1a14,5xcq,103.28267321867101
1a14,5lbs,82.50514295340906
1a14,5wym,91.51262866749482
1a14,5xcs,97.22262360067928
1a14,5xct,72.67824938406352
1a14,5tbd,95.77696384101786
1a14,5xcx,80.82705995148304
1a14,5xcr,80.33997882677657
1a14,5ogi,139.31147291424782
1a14,5xcu,67.22494244504753
1a14,5yy4,96.55249542036867
1a14,5xcv,100.38730138334117
1a14,5yd5,53.947589115628105
1a14,6cbp,105.50043870265188
1a14,5xwd,105.19584895204531
1a14,5yd3,73.19858865496478
1a14,6a78,117.0267738663648
1a14,6a79,117.18542995839707
1a14,5yd4,73.17838769114809
1a14,6cf2,118.49133034625085
1a14,6dsi,128.48101620892294
1a14,6ehv,74.27567980647866
1a14,6ehw,92.09607665990693
1a14,6ehx,109.93747476814619
1a14,5gs1,167.3752298550343
1a14,6ehy,99.72442410038967
1a14,6frj,74.45061519722533
1a14,6cvk,98.83912734643445
1a14,6fzq,74.5459618100933
1a14,6ban,78.15167496243461
1a14,6ejg,159.2159420132637
1a14,6ba5,64.71119284440901
1a14,6crk,157.51100664722676
1a14,6fzr,101.24996910843194
1a14,6ejm,76.73604676854892
1a14,6ek2,128.5994979761824
1a14,6g8r,76.21801682391198
1a14,6j14,106.10163838255639
1a14,6j5d,58.43881076301624
1a14,6j5f,58.49290028740378
1a14,6ffj,72.13277862532188
1a14,6j9o,100.96788340300516
1a14,6ivz,147.3130347500744
1a14,6k65,71.55119161979825
1a14,6k4z,62.249332792618695
1a14,6i07,147.97373450962843
1a14,6h3t,60.730778112039935
