PDB1,PDB2,c_RMSD
1a14,2yc1,24.782824843371163
1a14,2ybr,37.95466801480841
1a14,2yss,29.93080334806359
1a14,2znw,30.986504378324362
1a14,2znx,31.236940902415835
1a14,3a67,27.245789624801525
1a14,3a6b,27.20715560850518
1a14,3a6c,27.207510107372414
1a14,3auv,26.31393342458984
1a14,3dur,18.31211284786531
1a14,3dus,21.16429024002844
1a14,3cx5,63.450611234251944
1a14,3duu,20.98153949764073
1a14,3dv4,17.544963157912484
1a14,3cxh,63.48771443681756
1a14,3dv6,21.026996111163086
1a14,3esu,4.318645204436212
1a14,3ehb,31.72089227892542
1a14,3esv,17.945832144301374
1a14,3et9,5.265562689945656
1a14,3gkz,26.706765857282363
1a14,3gm0,28.71567879170773
1a14,3h3b,36.09811215901677
1a14,3h3p,20.78993721790108
1a14,3hb3,31.489914729238297
1a14,3juy,28.554230612559255
1a14,3lh2,28.533154250822697
1a14,3umt,25.699294583155073
1a14,3lhp,31.356062180306353
1a14,3ux9,38.624263702300354
1a14,3uyp,26.430750551938573
1a14,3uze,28.737851182823675
1a14,3u6r,41.1434728292245
1a14,3uzq,32.70655389803598
1a14,43c9,19.20156313886902
1a14,3wbd,28.182319124595427
1a14,3uzv,24.09781907636737
1a14,43ca,19.523675388350853
1a14,4gqp,18.468767176115342
1a14,4ffy,35.733577303736
1a14,4buh,24.606419594997192
1a14,4h0h,39.43619067081653
1a14,4h0g,24.62631946521869
1a14,4laq,18.57941314934592
1a14,4h0i,38.70670273297429
1a14,4lar,32.45838655523698
1a14,4lci,17.42898380641337
1a14,4las,10.499912478821354
1a14,4lrn,12.774399696202792
1a14,4llv,23.436162561575024
1a14,4m62,34.419959625979374
1a14,4m8q,31.21864270613401
1a14,4ob5,21.383484163781734
1a14,4ouo,22.048502235969654
1a14,4nik,29.521220217824432
1a14,4p48,40.82173087745702
1a14,4p49,38.102749267956455
1a14,4qxt,22.916502040510043
1a14,4qyo,20.820288880643226
1a14,4r3s,18.820359207281577
1a14,4rav,31.956702862973863
1a14,4ut7,18.61595769823525
1a14,4rzc,13.159596549740732
1a14,4qy8,22.155141112524014
1a14,4uu9,14.32106693788677
1a14,4xvj,36.6390368180397
1a14,4y5v,43.267659233821
1a14,4y5y,40.82192308507575
1a14,4z0x,28.343550320680848
1a14,5a2i,13.829492741579926
1a14,4yqx,34.04385120384141
1a14,4yjz,26.539252256805153
1a14,5a2j,20.251779543262515
1a14,5a2k,14.130625229358488
1a14,5a2l,20.258356606392564
1a14,5aam,32.38147397728711
1a14,5ayu,15.96000428430821
1a14,5c2b,24.723885711448286
1a14,5b3n,33.63297588828304
1a14,5c6w,23.362263496626266
1a14,5cba,23.793407455718736
1a14,5cbe,24.637791196713984
1a14,5dhv,27.656939457337426
1a14,5dfw,26.89959143811399
1a14,5dhx,34.519078280426626
1a14,5fxc,14.429779675739741
1a14,5fcs,23.732209945974404
1a14,5f72,43.08419004685528
1a14,5gru,38.42385059772088
1a14,5grv,35.01177453402814
1a14,5grw,38.993233601077605
1a14,5grx,37.282788270497775
1a14,5gry,31.78281820327248
1a14,5gs3,50.89189974992367
1a14,5grz,51.48824593330666
1a14,5i4f,37.483557829575815
1a14,5gs1,33.6043307788907
1a14,5jyl,33.74697576793323
1a14,5j75,38.7952072920408
1a14,5j74,41.55318400012712
1a14,5jym,36.29768687607453
1a14,5kve,32.13708447400159
1a14,5lxa,46.76881714495612
1a14,5lx9,46.55468856654982
1a14,5lwy,33.374255590820155
1a14,5lbs,28.85930578789761
1a14,5n7b,20.18708268130858
1a14,5npj,23.48436685101787
1a14,5npi,23.312643149544446
1a14,5owp,19.869458142366167
1a14,5tbd,19.60198336780411
