PDB1,PDB2,Frechet_Distance
1a14,2a9m,80.81393432617188
1a14,1p84,127.0744400024414
1a14,2a9n,69.30363464355469
1a14,1xiw,98.55091857910156
1a14,2bfv,112.27279663085938
1a14,2bjm,48.203857421875
1a14,2ap2,85.79621124267578
1a14,2cju,81.30795288085938
1a14,2d7t,77.41150665283203
1a14,2dlf,98.91938781738281
1a14,2dqc,67.56719970703125
1a14,2dqd,68.03102111816406
1a14,2dqe,67.90048217773438
1a14,2dqg,67.49988555908203
1a14,2dqh,67.46916961669922
1a14,2dqi,67.20458984375
1a14,2dqf,71.51014709472656
1a14,2e27,109.27327728271484
1a14,2dqj,67.62911987304688
1a14,2eiz,131.8469696044922
1a14,2eks,105.1006851196289
1a14,2gjj,85.00133514404297
1a14,2gki,192.5581512451172
1a14,2gsg,86.66299438476562
1a14,2otw,101.5048599243164
1a14,2uud,94.95863342285156
1a14,2uzi,90.1111831665039
1a14,2otu,116.88111114501953
1a14,2vh5,90.15953063964844
1a14,2yc1,138.37728881835938
1a14,2xtj,112.49547576904297
1a14,2ybr,130.56637573242188
1a14,2ibz,126.80289459228516
1a14,2yss,124.43275451660156
1a14,3a67,67.75192260742188
1a14,3a6b,67.66091918945312
1a14,2znw,131.6391143798828
1a14,2znx,131.81759643554688
1a14,3a6c,67.6217269897461
1a14,3dur,118.33407592773438
1a14,3dus,132.66258239746094
1a14,3auv,134.83790588378906
1a14,3dv4,120.5633316040039
1a14,3duu,117.99989318847656
1a14,3dv6,137.53099060058594
1a14,3esu,87.18350219726562
1a14,3esv,112.09717559814453
1a14,3et9,89.82498931884766
1a14,3ehb,130.30776977539062
1a14,3gkz,102.38670349121094
1a14,3gm0,102.24472045898438
1a14,3h3p,137.82839965820312
1a14,3h3b,134.64515686035156
1a14,3hb3,128.82467651367188
1a14,3cx5,140.84963989257812
1a14,3cxh,139.91513061523438
1a14,3juy,129.7379913330078
1a14,3u6r,75.0716552734375
1a14,3lhp,126.00137329101562
1a14,3umt,93.24755859375
1a14,3uyp,87.41496276855469
1a14,3lh2,114.29694366455078
1a14,3ux9,71.0234146118164
1a14,3uzv,145.5166015625
1a14,3uzq,109.73953247070312
1a14,3uze,108.63361358642578
1a14,3wbd,178.17813110351562
1a14,4buh,118.30104064941406
1a14,4gqp,102.35786437988281
1a14,4ffy,132.66714477539062
1a14,43ca,88.7867660522461
1a14,43c9,85.94124603271484
1a14,4h0g,62.4501838684082
1a14,4h0h,119.09078216552734
1a14,4laq,128.69674682617188
1a14,4h0i,116.62958526611328
1a14,4lar,102.36738586425781
1a14,4las,102.41536712646484
1a14,4lci,108.7475814819336
1a14,4lrn,114.31663513183594
1a14,4nik,64.29930877685547
1a14,4m62,107.05992126464844
1a14,4llv,193.84591674804688
1a14,4ob5,116.03934478759766
1a14,4m8q,154.407470703125
1a14,4ouo,73.66870880126953
1a14,4p48,99.18889617919922
1a14,4p49,95.78563690185547
1a14,4qxt,139.28334045410156
1a14,4qy8,85.83753204345703
1a14,4qyo,85.54779052734375
1a14,4r3s,105.74883270263672
1a14,4ut7,128.2112274169922
1a14,4rav,117.91549682617188
1a14,4xvj,96.83617401123047
1a14,4uu9,113.6605453491211
1a14,4rzc,129.2203369140625
1a14,4yjz,228.53131103515625
1a14,4z0x,97.90520477294922
1a14,4y5y,144.6323699951172
1a14,5a2i,91.93030548095703
1a14,4yqx,76.39755249023438
1a14,5a2j,99.97016143798828
1a14,4y5v,225.98085021972656
1a14,5a2k,90.9348373413086
1a14,5a2l,102.06542205810547
1a14,5ayu,111.25305938720703
1a14,5b3n,123.9325180053711
1a14,5c2b,90.30940246582031
1a14,5aam,127.33782958984375
1a14,5c6w,159.99302673339844
1a14,5dfw,85.10357666015625
1a14,5cba,138.97450256347656
1a14,5cbe,129.2827606201172
1a14,5dhv,87.4191665649414
1a14,5dhx,124.9130859375
1a14,5fcs,136.2715301513672
1a14,5fxc,90.65538787841797
1a14,5grv,151.11209106445312
1a14,5f72,211.01190185546875
1a14,5grw,110.99256134033203
1a14,5grx,92.39315795898438
1a14,5gru,151.7169952392578
1a14,5gry,124.08161163330078
1a14,5grz,143.30715942382812
1a14,5i4f,138.14239501953125
1a14,5gs3,95.593505859375
1a14,5j74,138.99383544921875
1a14,5j75,149.15362548828125
1a14,5jyl,134.8416748046875
1a14,5kve,167.04879760742188
1a14,5jym,135.56744384765625
1a14,5lwy,142.77569580078125
1a14,5lx9,146.54884338378906
1a14,5lxa,146.41363525390625
1a14,5lbs,126.54984283447266
1a14,5n7b,132.41976928710938
1a14,5lxg,112.33030700683594
1a14,5npi,118.25621032714844
1a14,5npj,165.37271118164062
1a14,5owp,90.98757934570312
1a14,5gs1,235.56446838378906
1a14,5vf2,83.95211791992188
1a14,5vf6,64.75853729248047
1a14,5wn9,121.59890747070312
1a14,5ogi,227.3311004638672
1a14,5wym,125.66931915283203
1a14,5tbd,136.5624542236328
1a14,5xcq,129.63693237304688
1a14,5xcs,139.9660186767578
1a14,5xct,94.41141510009766
1a14,5xcr,96.18890380859375
1a14,5xcx,111.0698013305664
1a14,5xcu,78.8692855834961
1a14,5xcv,122.21673583984375
1a14,5xwd,150.5889434814453
1a14,5yd5,98.93306732177734
1a14,5yy4,120.57197570800781
1a14,5yd3,98.2359619140625
1a14,5yd4,98.09959411621094
1a14,6a78,146.33241271972656
1a14,6a79,146.8986053466797
1a14,6cbp,129.13558959960938
1a14,6cf2,174.12930297851562
1a14,6ba5,105.77660369873047
1a14,6ban,108.31867218017578
1a14,6dsi,157.4106903076172
1a14,6ehv,99.33444213867188
1a14,6ehw,109.16555786132812
1a14,6cvk,123.80915069580078
1a14,6crk,181.41342163085938
1a14,6ehx,146.76759338378906
1a14,6ehy,118.11377716064453
1a14,6ejg,197.41400146484375
1a14,6ek2,168.14178466796875
1a14,6ejm,101.71565246582031
1a14,6frj,90.90596771240234
1a14,6fzq,90.84990692138672
1a14,6fzr,132.32716369628906
1a14,6g8r,97.06376647949219
1a14,6ffj,95.64219665527344
1a14,6i07,173.9669189453125
1a14,6h3t,84.65640258789062
1a14,6ivz,155.63185119628906
1a14,6j14,131.85533142089844
